"deposition_id","record_id","state","submitted","title","version_doi","concept_doi","doi_url","record_url"
"20129594","20129594","done","True","Gauge Structure from Boundary-Trace Fixation","10.5281/zenodo.20129594","10.5281/zenodo.20129593","https://doi.org/10.5281/zenodo.20129594","https://zenodo.org/records/20129594"
"20129539","20129539","done","True","Particles as Localized Persistence Classes","10.5281/zenodo.20129539","10.5281/zenodo.20129538","https://doi.org/10.5281/zenodo.20129539","https://zenodo.org/records/20129539"
"20129505","20129505","done","True","Fields as Persistence Carriers","10.5281/zenodo.20129505","10.5281/zenodo.20129504","https://doi.org/10.5281/zenodo.20129505","https://zenodo.org/records/20129505"
"20129465","20129465","done","True","Bounded Perturbation Transport and the Origin of Finite-Propagation Constraint","10.5281/zenodo.20129465","10.5281/zenodo.20129464","https://doi.org/10.5281/zenodo.20129465","https://zenodo.org/records/20129465"
"20129424","20129424","done","True","The Metric Role from Continuation Comparison","10.5281/zenodo.20129424","10.5281/zenodo.20129423","https://doi.org/10.5281/zenodo.20129424","https://zenodo.org/records/20129424"
"20129369","20129369","done","True","Continuation Loci and the Origin of Local Domains","10.5281/zenodo.20129369","10.5281/zenodo.20129368","https://doi.org/10.5281/zenodo.20129369","https://zenodo.org/records/20129369"
"20119873","20119873","done","True","Standing Localization and the Origin of Physical Locality","10.5281/zenodo.20119873","10.5281/zenodo.20119872","https://doi.org/10.5281/zenodo.20119873","https://zenodo.org/records/20119873"
"20119796","20119796","done","True","Realized Persistence Cannot Be Physically Null","10.5281/zenodo.20119796","10.5281/zenodo.20119795","https://doi.org/10.5281/zenodo.20119796","https://zenodo.org/records/20119796"
"20118780","20118780","done","True","Ensemble Embedding Collapse under Standing-Preserving Admissibility","10.5281/zenodo.20118780","10.5281/zenodo.20118779","https://doi.org/10.5281/zenodo.20118780","https://zenodo.org/records/20118780"
"20118633","20118633","done","True","The Anthropic Collapse Theorem","10.5281/zenodo.20118633","10.5281/zenodo.20118632","https://doi.org/10.5281/zenodo.20118633","https://zenodo.org/records/20118633"
"20118545","20118545","done","True","Why Some Parameters Run and Others Cannot","10.5281/zenodo.20118545","10.5281/zenodo.20118544","https://doi.org/10.5281/zenodo.20118545","https://zenodo.org/records/20118545"
"20118440","20118440","done","True","Renormalization as Standing-Preserving Scale Transport","10.5281/zenodo.20118440","10.5281/zenodo.20118439","https://doi.org/10.5281/zenodo.20118440","https://zenodo.org/records/20118440"
"20118355","20118355","done","True","A Classification Theorem for Physical Constants","10.5281/zenodo.20118355","10.5281/zenodo.20118354","https://doi.org/10.5281/zenodo.20118355","https://zenodo.org/records/20118355"
"20118230","20118230","done","True","The Standing Fixity of Physical Constants","10.5281/zenodo.20118230","10.5281/zenodo.20118229","https://doi.org/10.5281/zenodo.20118230","https://zenodo.org/records/20118230"
"20095707","20095707","done","True","Quantum Entanglement as Boundary-Level Compatibility","10.5281/zenodo.20095707","10.5281/zenodo.19401432","https://doi.org/10.5281/zenodo.20095707","https://zenodo.org/records/20095707"
"20094750","20094750","done","True","Admissible Record Construction in Physically Non-Selective Quantum Regimes (Measurement Problem)","10.5281/zenodo.20094750","10.5281/zenodo.18514647","https://doi.org/10.5281/zenodo.20094750","https://zenodo.org/records/20094750"
"20092476","20092476","done","True","Concrete-Domain Closure under AASC","10.5281/zenodo.20092476","10.5281/zenodo.20092475","https://doi.org/10.5281/zenodo.20092476","https://zenodo.org/records/20092476"
"20092435","20092435","done","True","Standing Localization under Realized Persistence","10.5281/zenodo.20092435","10.5281/zenodo.20092434","https://doi.org/10.5281/zenodo.20092435","https://zenodo.org/records/20092435"
"20090607","20090607","done","True","Persistence-Regime Realization under AASC","10.5281/zenodo.20090607","10.5281/zenodo.20090606","https://doi.org/10.5281/zenodo.20090607","https://zenodo.org/records/20090607"
"20089824","20089824","done","True","Boundary-Trace Fixation of Continuation Loci under AASC","10.5281/zenodo.20089824","10.5281/zenodo.20089823","https://doi.org/10.5281/zenodo.20089824","https://zenodo.org/records/20089824"
"20088861","20088861","done","True","Continuation-Locus Induction under Admissibility-Bearing Governance","10.5281/zenodo.20088861","10.5281/zenodo.20088860","https://doi.org/10.5281/zenodo.20088861","https://zenodo.org/records/20088861"
"20085939","20085939","done","True","Constraint-Bundle Forcing under Fixed-Domain Evaluability","10.5281/zenodo.20085939","10.5281/zenodo.20085938","https://doi.org/10.5281/zenodo.20085939","https://zenodo.org/records/20085939"
"20084969","20084969","done","True","Generation Count and Residual Parameters in the Standard Model Representation Regime","10.5281/zenodo.20084969","10.5281/zenodo.18515560","https://doi.org/10.5281/zenodo.20084969","https://zenodo.org/records/20084969"
"20082268","20082268","done","True","Rigidity of the Standard-Model Charge Lattice","10.5281/zenodo.20082268","10.5281/zenodo.18492703","https://doi.org/10.5281/zenodo.20082268","https://zenodo.org/records/20082268"
"20074285","20074285","done","True","The Structural Inadmissibility of the Null Regime","10.5281/zenodo.20074285","10.5281/zenodo.20074284","https://doi.org/10.5281/zenodo.20074285","https://zenodo.org/records/20074285"
"20074135","20074135","done","True","Horizon Instability as an Admissible Reconstruction Obstruction","10.5281/zenodo.20074135","10.5281/zenodo.20073764","https://doi.org/10.5281/zenodo.20074135","https://zenodo.org/records/20074135"
"20070223","20070223","done","True","Matter–Antimatter Asymmetry as the Unique Admissible Reconstruction of Persistent Cosmological Identity","10.5281/zenodo.20070223","10.5281/zenodo.18515505","https://doi.org/10.5281/zenodo.20070223","https://zenodo.org/records/20070223"
"20065054","20065054","done","True","Neutrino Oscillation as the Unique Admissible Reconstruction of Flavor Under Noncommuting Propagation","10.5281/zenodo.20065054","10.5281/zenodo.20065053","https://doi.org/10.5281/zenodo.20065054","https://zenodo.org/records/20065054"
"20055534","20055534","done","True","Constraint Architectures for Coherent Evaluability (Mind Paper)","10.5281/zenodo.20055534","10.5281/zenodo.18628354","https://doi.org/10.5281/zenodo.20055534","https://zenodo.org/records/20055534"
"20047889","20047889","done","True","The Dark Sector as a Classification Error","10.5281/zenodo.20047889","10.5281/zenodo.18522019","https://doi.org/10.5281/zenodo.20047889","https://zenodo.org/records/20047889"
"20044420","20044420","done","True","Renormalization Invariance and Standing Preservation in the Non-Predictivity of Zero-Point Vacuum Energy","10.5281/zenodo.20044420","10.5281/zenodo.20044419","https://doi.org/10.5281/zenodo.20044420","https://zenodo.org/records/20044420"
"20044294","20044294","done","True","Invariance Constraints and the Non-Predictivity of Zero-Point Vacuum Energy in Quantum Field Theory","10.5281/zenodo.20044294","10.5281/zenodo.20044293","https://doi.org/10.5281/zenodo.20044294","https://zenodo.org/records/20044294"
"20042237","20042237","done","True","Why Zero-Point Vacuum Energy Is Not a Cosmological Prediction in Quantum Field Theory","10.5281/zenodo.20042237","10.5281/zenodo.20042236","https://doi.org/10.5281/zenodo.20042237","https://zenodo.org/records/20042237"
"20039310","20039310","done","True","A Classification Theorem for Admissible Standard-Model Structures","10.5281/zenodo.20039310","10.5281/zenodo.20039309","https://doi.org/10.5281/zenodo.20039310","https://zenodo.org/records/20039310"
"20034621","20034621","done","True","Rigidity of the Black–Scholes Valuation Operator","10.5281/zenodo.20034621","10.5281/zenodo.18581185","https://doi.org/10.5281/zenodo.20034621","https://zenodo.org/records/20034621"
"19988045","19988045","done","True","Boundary-Trace Fixation under Admissibility","10.5281/zenodo.19988045","10.5281/zenodo.19988044","https://doi.org/10.5281/zenodo.19988045","https://zenodo.org/records/19988045"
"19982492","19982492","done","True","Transport Closure in Cosmological Inference and the Hubble Tension (Parameters)","10.5281/zenodo.19982492","10.5281/zenodo.19929268","https://doi.org/10.5281/zenodo.19982492","https://zenodo.org/records/19982492"
"19981881","19981881","done","True","Standing-Preserving Self-Improvement","10.5281/zenodo.19981881","10.5281/zenodo.19981880","https://doi.org/10.5281/zenodo.19981881","https://zenodo.org/records/19981881"
"19977507","19977507","done","True","Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription (Constants)","10.5281/zenodo.19977507","10.5281/zenodo.19977506","https://doi.org/10.5281/zenodo.19977507","https://zenodo.org/records/19977507"
"19945402","19945402","done","True","Gravity as Structural Necessity","10.5281/zenodo.19945402","10.5281/zenodo.19945401","https://doi.org/10.5281/zenodo.19945402","https://zenodo.org/records/19945402"
"19907828","19907828","done","True","On the Structural Origin of Cosmological Parameter Tensions and Transport-Induced Divergence (Hubble Tension)","10.5281/zenodo.19907828","10.5281/zenodo.19907827","https://doi.org/10.5281/zenodo.19907828","https://zenodo.org/records/19907828"
"19905223","19905223","done","True","On the Non-Quantizability of Gravity and Constraint-Induced Rigidity of Physical Structure","10.5281/zenodo.19905223","10.5281/zenodo.19905222","https://doi.org/10.5281/zenodo.19905223","https://zenodo.org/records/19905223"
"19893495","19893495","done","True","Admissibility and Constraint-Induced Rigidity of Physical Quotient Structure (Structural Unification)","10.5281/zenodo.19893495","10.5281/zenodo.18630901","https://doi.org/10.5281/zenodo.19893495","https://zenodo.org/records/19893495"
"19881302","19881302","done","True","Structura Ex Necessitate Standardis Modelis","10.5281/zenodo.19881302","10.5281/zenodo.18670613","https://doi.org/10.5281/zenodo.19881302","https://zenodo.org/records/19881302"
"19862400","19862400","done","True","Eadem Natura Duo Spectra","10.5281/zenodo.19862400","10.5281/zenodo.18522113","https://doi.org/10.5281/zenodo.19862400","https://zenodo.org/records/19862400"
"19827597","19827597","done","True","Forty-Two: Exhaustion, Closure, and Downstream Consequence","10.5281/zenodo.19827597","10.5281/zenodo.19572213","https://doi.org/10.5281/zenodo.19827597","https://zenodo.org/records/19827597"
"19722291","19722291","done","True","The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction","10.5281/zenodo.19722291","10.5281/zenodo.18603144","https://doi.org/10.5281/zenodo.19722291","https://zenodo.org/records/19722291"
"19700725","19700725","done","True","Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description (Normal Form Capstone)","10.5281/zenodo.19700725","10.5281/zenodo.18678041","https://doi.org/10.5281/zenodo.19700725","https://zenodo.org/records/19700725"
"19697219","19697219","done","True","A Fixed-Domain Exhaustion Theorem","10.5281/zenodo.19697219","10.5281/zenodo.18682423","https://doi.org/10.5281/zenodo.19697219","https://zenodo.org/records/19697219"
"19689795","19689795","done","True","Standing Localization and the Necessity of Minimal Life Carriers on Fixed Domains (Life, Intelligence, Technology)","10.5281/zenodo.19689795","10.5281/zenodo.19494923","https://doi.org/10.5281/zenodo.19689795","https://zenodo.org/records/19689795"
"19682333","19682333","done","True","Standing–Admissibility Identity Closure (Equivalence)","10.5281/zenodo.19682333","10.5281/zenodo.18521918","https://doi.org/10.5281/zenodo.19682333","https://zenodo.org/records/19682333"
"19662633","19662633","done","True","Unus Solus Possibilis Est (Uniqueness)","10.5281/zenodo.19662633","10.5281/zenodo.18518484","https://doi.org/10.5281/zenodo.19662633","https://zenodo.org/records/19662633"
"19658739","19658739","done","True","Admissible Construction and the Non-Instantiability of Gödel Architectures (Incompleteness)","10.5281/zenodo.19658739","10.5281/zenodo.19470169","https://doi.org/10.5281/zenodo.19658739","https://zenodo.org/records/19658739"
"19658175","19658175","done","True","The Bivalence Theorem for Non-Degenerate Construction (Conservation)","10.5281/zenodo.19658175","10.5281/zenodo.18518422","https://doi.org/10.5281/zenodo.19658175","https://zenodo.org/records/19658175"
"19657834","19657834","done","True","The Structure of Coherent Construction: A Bivalent Trajectory Theory (Conservation Evolution)","10.5281/zenodo.19657834","10.5281/zenodo.19338549","https://doi.org/10.5281/zenodo.19657834","https://zenodo.org/records/19657834"
"19657807","19657807","done","True","The Structure of Admissibility (Formalism Building)","10.5281/zenodo.19657807","10.5281/zenodo.19198249","https://doi.org/10.5281/zenodo.19657807","https://zenodo.org/records/19657807"
"19652939","19652939","done","True","Lean4/Vacuum-sector-mass-gap-for-the-local-gauge-invariant-sharp-local-Yang-Mills-net","10.5281/zenodo.19652939","10.5281/zenodo.19493504","https://doi.org/10.5281/zenodo.19652939","https://zenodo.org/records/19652939"
"19647129","19647129","done","True","Admissibility and the Well-Definedness of Yang–Mills Endpoint Constructions","10.5281/zenodo.19647129","10.5281/zenodo.19646301","https://doi.org/10.5281/zenodo.19647129","https://zenodo.org/records/19647129"
"19640706","19640706","done","True","Companion III: Reconstruction, Non-Triviality, and Faithful-Wilson Universality","10.5281/zenodo.19640706","10.5281/zenodo.19493077","https://doi.org/10.5281/zenodo.19640706","https://zenodo.org/records/19640706"
"19640704","19640704","done","True","Companion II: Lane A Sharp-Local Construction","10.5281/zenodo.19640704","10.5281/zenodo.19492999","https://doi.org/10.5281/zenodo.19640704","https://zenodo.org/records/19640704"
"19640692","19640692","done","True","Companion I: Ultraviolet Gate and Route 1 Mass-Gap Chain","10.5281/zenodo.19640692","10.5281/zenodo.19492934","https://doi.org/10.5281/zenodo.19640692","https://zenodo.org/records/19640692"
"19640681","19640681","done","True","Vacuum-sector mass gap for the local gauge-invariant sharp-local Yang–Mills net","10.5281/zenodo.19640681","10.5281/zenodo.19492854","https://doi.org/10.5281/zenodo.19640681","https://zenodo.org/records/19640681"
"19575900","19575900","done","True","Lean4/Forty Two Exhaustion, Closure, and Downstream Consequence","10.5281/zenodo.19575900","10.5281/zenodo.19575899","https://doi.org/10.5281/zenodo.19575900","https://zenodo.org/records/19575900"
"19565320","19565320","done","True","Lean4/Closure-by-Exhaustion-for-Same-Scope-Operators-under-Admissibility","10.5281/zenodo.19565320","10.5281/zenodo.19565319","https://doi.org/10.5281/zenodo.19565320","https://zenodo.org/records/19565320"
"19564661","19564661","done","True","Closure by Exhaustion for Same-Scope Operators under Admissibility (Mathematics)","10.5281/zenodo.19564661","10.5281/zenodo.19183407","https://doi.org/10.5281/zenodo.19564661","https://zenodo.org/records/19564661"
"19542015","19542015","done","True","Lean4/measurement-problem-reference: v0.1.1","10.5281/zenodo.19542015","10.5281/zenodo.19542014","https://doi.org/10.5281/zenodo.19542015","https://zenodo.org/records/19542015"
"19522089","19522089","done","True","Lean4/Godel-non-instantiability","10.5281/zenodo.19522089","10.5281/zenodo.19522088","https://doi.org/10.5281/zenodo.19522089","https://zenodo.org/records/19522089"
"19521791","19521791","done","True","Lean4/bivalence-non-degenerate-reasoning: v1.0.0","10.5281/zenodo.19521791","10.5281/zenodo.19521790","https://doi.org/10.5281/zenodo.19521791","https://zenodo.org/records/19521791"
"19500297","19500297","done","True","Lean4/Unus-Solus-Possibilis-Est","10.5281/zenodo.19500297","10.5281/zenodo.19500296","https://doi.org/10.5281/zenodo.19500297","https://zenodo.org/records/19500297"
"19497689","19497689","done","True","Lean4/NavierStokes-paper: Navier–Stokes (periodic) — paper-aligned release v1.0.0","10.5281/zenodo.19497689","10.5281/zenodo.19497688","https://doi.org/10.5281/zenodo.19497689","https://zenodo.org/records/19497689"
"19494104","19494104","done","True","Lean4/Standing Localization and the Structural Inevitability of Life — paper companion release v1.0.0","10.5281/zenodo.19494104","10.5281/zenodo.19494103","https://doi.org/10.5281/zenodo.19494104","https://zenodo.org/records/19494104"
"19492519","19492519","done","True","Lean4/Necessity-of-Admissibility-in-Non-Degenerate-Compositional-Systems: MaleyLean v0.1.x","10.5281/zenodo.19492519","10.5281/zenodo.19492518","https://doi.org/10.5281/zenodo.19492519","https://zenodo.org/records/19492519"
"19491858","19491858","done","True","Lean4/Foundational-Closure-of-Admissibility-and-Standing: MaleyLean v0.1.1","10.5281/zenodo.19491858","10.5281/zenodo.19491857","https://doi.org/10.5281/zenodo.19491858","https://zenodo.org/records/19491858"
"19475565","19475565","done","True","Symmetry Constraints and Saturation in the Hypercube","10.5281/zenodo.19475565","10.5281/zenodo.19475564","https://doi.org/10.5281/zenodo.19475565","https://zenodo.org/records/19475565"
"19205054","19205054","done","True","Local Gauge-Invariant Yang–Mills QFT and Vacuum Mass Gap in Four Dimensions for Compact Connected Simple Gauge Groups","10.5281/zenodo.19205054","10.5281/zenodo.18984273","https://doi.org/10.5281/zenodo.19205054","https://zenodo.org/records/19205054"
"19167975","19167975","done","True","Navier Stokes Supplementary Referee Dossier","10.5281/zenodo.19167975","10.5281/zenodo.19087362","https://doi.org/10.5281/zenodo.19167975","https://zenodo.org/records/19167975"
"19163460","19163460","done","True","Carrier Universality and Global Smoothness for the Periodic 3D Navier–Stokes Equations","10.5281/zenodo.19163460","10.5281/zenodo.19022917","https://doi.org/10.5281/zenodo.19163460","https://zenodo.org/records/19163460"
"19041181","19041181","done","True","Final Analytic Certification Dossier (Yang Mills millennium)","10.5281/zenodo.19041181","10.5281/zenodo.19041180","https://doi.org/10.5281/zenodo.19041181","https://zenodo.org/records/19041181"
"18890304","18890304","done","True","Yang–Mills Mass Gap for SU (2) in Four Dimensions","10.5281/zenodo.18890304","10.5281/zenodo.18816791","https://doi.org/10.5281/zenodo.18890304","https://zenodo.org/records/18890304"
"18860253","18860253","done","True","Global Proof Architecture for the Yang–Mills Mass Gap Program Across All Compact Simple Gauge Groups","10.5281/zenodo.18860253","10.5281/zenodo.18860252","https://doi.org/10.5281/zenodo.18860253","https://zenodo.org/records/18860253"
"18860202","18860202","done","True","Yang–Mills Mass Gap for the Exceptional Groups in Four Dimensions","10.5281/zenodo.18860202","10.5281/zenodo.18837876","https://doi.org/10.5281/zenodo.18860202","https://zenodo.org/records/18860202"
"18860190","18860190","done","True","Yang–Mills Mass Gap for Orthogonal and Symplectic Groups in Four Dimensions","10.5281/zenodo.18860190","10.5281/zenodo.18836566","https://doi.org/10.5281/zenodo.18860190","https://zenodo.org/records/18860190"
"18859907","18859907","done","True","Yang–Mills Mass Gap for SU(N) in Four Dimensions","10.5281/zenodo.18859907","10.5281/zenodo.18835405","https://doi.org/10.5281/zenodo.18859907","https://zenodo.org/records/18859907"
"18787676","18787676","done","True","Constraint-Driven Closure and the Yang–Mills Mass Gap","10.5281/zenodo.18787676","10.5281/zenodo.18787675","https://doi.org/10.5281/zenodo.18787676","https://zenodo.org/records/18787676"
"18787605","18787605","done","True","Sharp Local Fields as an Ultraviolet Scope Enlargement","10.5281/zenodo.18787605","10.5281/zenodo.18787604","https://doi.org/10.5281/zenodo.18787605","https://zenodo.org/records/18787605"
"18787519","18787519","done","True","Ultraviolet Trajectories and Conditional Completion","10.5281/zenodo.18787519","10.5281/zenodo.18787518","https://doi.org/10.5281/zenodo.18787519","https://zenodo.org/records/18787519"
"18787440","18787440","done","True","Semigroup Spectral Extraction from Euclidean Exponential Clustering","10.5281/zenodo.18787440","10.5281/zenodo.18787439","https://doi.org/10.5281/zenodo.18787440","https://zenodo.org/records/18787440"
"18787376","18787376","done","True","Finite Depth Entrance versus Stable Manifold Renormalization Group Control","10.5281/zenodo.18787376","10.5281/zenodo.18787375","https://doi.org/10.5281/zenodo.18787376","https://zenodo.org/records/18787376"
"18787331","18787331","done","True","Finite depth majorant mixing and a continuum mass gap for four dimensional Yang Mills","10.5281/zenodo.18787331","10.5281/zenodo.18787330","https://doi.org/10.5281/zenodo.18787331","https://zenodo.org/records/18787331"
"18671728","18671728","done","True","Clausura Ex Necessitate Structurae","10.5281/zenodo.18671728","10.5281/zenodo.18664019","https://doi.org/10.5281/zenodo.18671728","https://zenodo.org/records/18671728"
"18627779","18627779","done","True","Standing Constrained Self Location","10.5281/zenodo.18627779","10.5281/zenodo.18616506","https://doi.org/10.5281/zenodo.18627779","https://zenodo.org/records/18627779"
"18627774","18627774","done","True","Necessity of Self Location","10.5281/zenodo.18627774","10.5281/zenodo.18612008","https://doi.org/10.5281/zenodo.18627774","https://zenodo.org/records/18627774"
"18627771","18627771","done","True","Meta Necessity of Anchor Persistence","10.5281/zenodo.18627771","10.5281/zenodo.18617025","https://doi.org/10.5281/zenodo.18627771","https://zenodo.org/records/18627771"
"18627768","18627768","done","True","Mentis Umbra","10.5281/zenodo.18627768","10.5281/zenodo.18611122","https://doi.org/10.5281/zenodo.18627768","https://zenodo.org/records/18627768"
"18626816","18626816","done","True","10 paper Maley primer","10.5281/zenodo.18626816","10.5281/zenodo.18626815","https://doi.org/10.5281/zenodo.18626816","https://zenodo.org/records/18626816"
"18626795","18626795","done","True","5 Paper Maley primer","10.5281/zenodo.18626795","10.5281/zenodo.18626794","https://doi.org/10.5281/zenodo.18626795","https://zenodo.org/records/18626795"
"18620374","18620374","done","True","Admissibility Forces Hilbert Geometry and Schrodinger-Form Dynamics","10.5281/zenodo.18620374","10.5281/zenodo.18620373","https://doi.org/10.5281/zenodo.18620374","https://zenodo.org/records/18620374"
"18620335","18620335","done","True","Hilbert-or-Denial: A Categorical Meta-Proof that Admissible Predictive Geometry Must Be Hilbertian","10.5281/zenodo.18620335","10.5281/zenodo.18620334","https://doi.org/10.5281/zenodo.18620335","https://zenodo.org/records/18620335"
"18607290","18607290","done","True","LM The Impossibility Suite","10.5281/zenodo.18607290","10.5281/zenodo.18525398","https://doi.org/10.5281/zenodo.18607290","https://zenodo.org/records/18607290"
"18605350","18605350","done","True","Closure Universal Overlap and Forced Coincidence Uniqueness in the Gauge Sector","10.5281/zenodo.18605350","10.5281/zenodo.18604220","https://doi.org/10.5281/zenodo.18605350","https://zenodo.org/records/18605350"
"18603440","18603440","done","True","Dimensionless Gauge Couplings as Moduli","10.5281/zenodo.18603440","10.5281/zenodo.18603439","https://doi.org/10.5281/zenodo.18603440","https://zenodo.org/records/18603440"
"18602733","18602733","done","True","The Meissner Effect as a Phase Defining Constraint","10.5281/zenodo.18602733","10.5281/zenodo.18602732","https://doi.org/10.5281/zenodo.18602733","https://zenodo.org/records/18602733"
"18591484","18591484","done","True","Forced Coincidence Under Admissible Overlap (Euler's identity,Fundamental Theorem of Algebra, the Gauss–Bonnet theorem, and Noether's theorem)","10.5281/zenodo.18591484","10.5281/zenodo.18591483","https://doi.org/10.5281/zenodo.18591484","https://zenodo.org/records/18591484"
"18589697","18589697","done","True","The Riemann Hypothesis as a Standing Fixation Constraint","10.5281/zenodo.18589697","10.5281/zenodo.18589108","https://doi.org/10.5281/zenodo.18589697","https://zenodo.org/records/18589697"
"18587159","18587159","done","True","Standing Localization and the Structural Inevitability of Life (standalone version)","10.5281/zenodo.18587159","10.5281/zenodo.18587158","https://doi.org/10.5281/zenodo.18587159","https://zenodo.org/records/18587159"
"18584224","18584224","done","True","On the Structural Necessity of pi from Closed Rotational Invariance","10.5281/zenodo.18584224","10.5281/zenodo.18584223","https://doi.org/10.5281/zenodo.18584224","https://zenodo.org/records/18584224"
"18545490","18545490","done","True","The Standard Model is not derived but forced by admissibility constraints","10.5281/zenodo.18545490","10.5281/zenodo.18545489","https://doi.org/10.5281/zenodo.18545490","https://zenodo.org/records/18545490"
"18543350","18543350","done","True","L1 Paper 11 Hypercharge Normalization Electric Charge Quantization","10.5281/zenodo.18543350","10.5281/zenodo.18515176","https://doi.org/10.5281/zenodo.18543350","https://zenodo.org/records/18543350"
"18543209","18543209","done","True","L1 Paper 10 Absence of Tree Level Flavor Changing Neutral Currents","10.5281/zenodo.18543209","10.5281/zenodo.18515196","https://doi.org/10.5281/zenodo.18543209","https://zenodo.org/records/18543209"
"18542947","18542947","done","True","L1 Paper 9 Rephasing Redundancy Exhaustion","10.5281/zenodo.18542947","10.5281/zenodo.18515214","https://doi.org/10.5281/zenodo.18542947","https://zenodo.org/records/18542947"
"18542702","18542702","done","True","L1 Paper 8 Unitary Mixing Saturation","10.5281/zenodo.18542702","10.5281/zenodo.18515229","https://doi.org/10.5281/zenodo.18542702","https://zenodo.org/records/18542702"
"18542656","18542656","done","True","L1 Paper 7 Yukawa Realizability under Minimal Chiral Load","10.5281/zenodo.18542656","10.5281/zenodo.18515249","https://doi.org/10.5281/zenodo.18542656","https://zenodo.org/records/18542656"
"18531800","18531800","done","True","ADMISSIBILITY PRECEDES THEORY","10.5281/zenodo.18531800","10.5281/zenodo.18513502","https://doi.org/10.5281/zenodo.18531800","https://zenodo.org/records/18531800"
"18531711","18531711","done","True","Admissibility Standing and the Elimination of Epistemic Surrogates","10.5281/zenodo.18531711","10.5281/zenodo.18513526","https://doi.org/10.5281/zenodo.18531711","https://zenodo.org/records/18531711"
"18531596","18531596","done","True","Claim Modality and the Structure of Assertion","10.5281/zenodo.18531596","10.5281/zenodo.18513542","https://doi.org/10.5281/zenodo.18531596","https://zenodo.org/records/18531596"
"18531515","18531515","done","True","WHY NO EMPIRICAL RESULT CAN REFUTE LORENTZIAN ADMISSIBILITY","10.5281/zenodo.18531515","10.5281/zenodo.18513474","https://doi.org/10.5281/zenodo.18531515","https://zenodo.org/records/18531515"
"18531291","18531291","done","True","Fixation as a Non Optional Structural Constraint","10.5281/zenodo.18531291","10.5281/zenodo.18513447","https://doi.org/10.5281/zenodo.18531291","https://zenodo.org/records/18531291"
"18531133","18531133","done","True","Admissible Reference Fixation as a Necessary Condition for Theory Level Empirical Confirmation","10.5281/zenodo.18531133","10.5281/zenodo.18513385","https://doi.org/10.5281/zenodo.18531133","https://zenodo.org/records/18531133"
"18531054","18531054","done","True","Lorentzian Admissibility","10.5281/zenodo.18531054","10.5281/zenodo.18513418","https://doi.org/10.5281/zenodo.18531054","https://zenodo.org/records/18531054"
"18530949","18530949","done","True","Empirical Completeness and Reference Robust Confirmation The Maley Theorem","10.5281/zenodo.18530949","10.5281/zenodo.18513332","https://doi.org/10.5281/zenodo.18530949","https://zenodo.org/records/18530949"
"18525471","18525471","done","True","Paper B4 Regime Transitions Without Dynamics","10.5281/zenodo.18525471","10.5281/zenodo.18525470","https://doi.org/10.5281/zenodo.18525471","https://zenodo.org/records/18525471"
